School Id,Tuition In State,Tuition Out of State
445188,13262,39944
446792,,
446808,,
446048,19128,19128
446668,,
447458,23899,23899
447272,13152,13152
117557,10575,10575
210492,19932,19932
441982,49986,49986
456348,18244,18244
459842,13390,13390
468015,,
449038,12975,12975
450298,12975,12975
453215,12975,12975
458885,12975,12975
458955,12975,12975
460738,,
461795,11900,11900
470092,,
139287,10460,10460
475608,8950,8950
475732,19230,19230
489788,14325,14325
484905,7848,20088
484622,,
485078,10662,10662
484668,9840,9840
484695,9840,9840
484738,,
485272,20350,20350
484765,9840,9840
488332,,
483018,35568,35568
486488,17400,17400
486938,19230,19230
486965,39600,39600
487375,19345,19345
212452,5870,5870
460075,9570,9570
481225,5018,5018
480912,,
481058,2840,2840
482228,5560,5560
482538,19948,19948
482565,19948,19948
482608,19948,19948
481438,11000,11000
482635,19948,19948
482398,,
482422,19948,19948
482158,3890,10919
482705,,
482468,19948,19948
475398,10175,10175
458982,17664,17664
459268,17330,17330
476692,9000,9000
480082,17330,17330
476975,,
480198,8280,8280
182917,22000,22000
449348,4415,4415
449658,9350,9350
452018,,
454582,,
445735,,
450085,17592,17592
449898,17330,17330
450535,13152,13152
451848,,
451398,12100,12100
454245,19230,19230
448822,,
199971,4075,4075
442222,13152,13152
442718,13755,13755
184694,40234,40234
444778,9680,9680
444398,6240,6240
445692,24750,24750
420325,6500,6500
100751,10470,26950
101587,8876,16162
105367,,
107044,18635,18635
110097,36696,36696
118541,35884,35884
117751,31970,31970
120184,33268,33268
120254,51070,51070
120537,30550,30550
137351,6410,17324
139861,9202,27550
139931,6273,16847
139311,5340,15596
138947,22396,22396
143084,39621,39621
142294,27425,27425
141574,11732,33764
140951,35690,35690
141167,16940,16940
141237,18510,18510
141981,7440,20400
142887,32220,32220
141264,6297,16891
141334,6143,16717
145497,16860,16860
146427,43285,43285
145637,15058,30680
146481,44116,44116
145691,31610,31610
146667,13020,13020
147767,50855,50855
148627,32250,32250
148654,11413,20938
149514,30130,30130
147244,31824,31824
148177,17484,17484
148487,28119,28119
148511,,
405058,9700,9700
100654,9366,17496
102377,20015,20015
100724,9220,16156
102614,5976,18184
100937,34448,34448
101541,17376,17376
102094,7548,14796
102234,35794,35794
102261,12600,12600
104717,17050,17050
104151,10370,26470
106704,8224,14447
109651,40596,40596
107877,17320,17320
107141,25324,25324
110617,6900,18060
110644,14046,40728
110671,13581,40263
110714,13539,40221
117104,14138,14138
106397,8820,23168
106467,6624,11880
107071,8340,15180
110361,31372,31372
110404,47577,47577
111081,45646,45646
112084,29550,29550
110547,6423,17583
110574,6564,17724
112394,19096,19096
117627,31590,31590
123457,25950,25950
122454,43090,43090
122597,6484,17644
125727,42900,42900
125897,37906,37906
126827,10540,10540
127714,11520,11520
127741,8888,20474
126614,11531,35079
129941,37060,37060
128391,9193,20497
130697,50912,50912
130794,49480,49480
129534,7750,7750
128744,31630,31630
128771,9741,22602
135364,6800,6800
137847,27740,27740
201645,46006,46006
203085,29200,29200
203368,38490,38490
203775,29422,29422
207722,7200,17550
206862,24468,24468
207342,,
207458,30726,30726
208488,29390,29390
207582,25676,25676
210775,32270,32270
209612,41054,41054
211608,11356,17452
211088,40920,40920
211158,10154,21246
209825,44104,44104
209922,52150,52150
213358,27000,27000
213385,49635,49635
213598,11102,16733
214148,38301,38301
214175,48310,48310
214698,13678,20558
213668,37162,37162
215105,41464,41464
214625,13616,20496
216278,43720,43720
215798,33426,33426
217402,46970,46970
217518,32100,32100
216852,42870,42870
217998,34560,34560
218645,10196,20102
217688,24140,24140
219198,25380,25380
218742,11190,22188
217882,14708,34590
219295,19090,19090
217925,21490,21490
220598,10280,10280
219718,15764,15764
220862,9125,20837
222938,17664,17664
222628,,
221768,9088,14848
223232,42006,42006
221838,7256,19976
221892,24624,24624
226152,7016,16946
225432,5978,15770
230038,5300,5300
231712,13054,24680
230995,37354,37354
232672,30635,30635
230782,5523,14749
230852,38660,38660
232885,,
230898,37002,37002
232265,24242,24242
234155,8472,19002
232982,9750,26730
173647,42840,42840
174127,36548,36548
178697,18930,18930
178721,12130,12130
179557,6990,12375
178411,9057,25173
179867,49770,49770
179894,26300,26300
180984,28480,28480
181534,7243,7243
181604,29954,29954
182111,17413,17413
182281,7183,21093
183974,32098,32098
183211,30000,30000
183804,,
186131,45320,45320
186201,13870,22870
187444,12574,20466
190114,18730,18730
190567,6689,13799
190664,6938,14048
190691,6748,13858
193247,6980,6980
191621,21300,21300
192271,25725,25725
194161,24850,24850
199184,9139,24609
199281,5816,16760
201548,33492,33492
200332,8327,19891
201858,16414,16414
201195,30776,30776
201885,11000,26334
203128,33040,33040
204468,28300,28300
204635,29820,29820
206048,23125,23125
206525,38090,38090
206622,36150,36150
206695,8317,8557
206835,25070,25070
207865,6690,13440
207388,8321,22443
208725,14230,14230
208822,33730,33730
209065,40175,40175
209108,20835,20835
211352,30588,30588
209542,10366,28846
210942,17916,17916
211468,36825,36825
212832,32480,32480
212115,9968,21110
214652,14072,21506
214272,28580,28580
215062,51464,51464
214768,14072,21506
215132,38850,38850
215275,13618,24640
215442,29030,29030
216542,20694,20694
216038,9862,13716
217165,40962,40962
215655,28250,28250
217235,30746,30746
141361,29012,29012
141644,23440,23440
143297,,
142461,28650,28650
144971,21120,21120
144281,25334,25334
144351,30630,30630
149231,11008,23536
148584,30840,30840
147341,35300,35300
151324,8746,19076
151111,9205,29791
150534,33966,33966
150604,30025,30025
150677,23120,23120
150774,28760,28760
150941,25400,25400
152381,28932,28932
151351,10388,34246
151777,30802,30802
153144,41000,41000
154101,29500,29500
152567,30960,30960
153834,40040,40040
153001,32210,32210
154721,26660,26660
157377,23350,23350
157401,8400,22680
159391,10814,27491
160074,12046,12046
160904,23046,23046
160977,50310,50310
161004,49900,49900
162584,8702,21226
161244,7530,19350
161341,7436,11066
161457,35630,35630
162007,7880,18416
162061,24272,24272
164447,33140,33140
165024,9603,15743
164614,12600,12600
166054,22490,22490
165644,30815,30815
167987,13188,27473
168254,34874,34874
167677,22650,22650
168281,49012,49012
166674,12200,32800
168421,46994,46994
168591,37310,37310
170091,14770,14770
170967,21662,21662
170301,31560,31560
171571,12064,24540
173124,8394,8394
171881,20342,20342
123554,44360,44360
121257,50430,50430
122931,47112,47112
123651,31430,31430
123961,52283,52283
121691,46570,46570
125231,12075,12075
130934,7532,16138
130314,36870,36870
129774,31780,31780
132471,28800,28800
134237,23116,23116
132657,36650,36650
133711,17500,17500
133881,40446,40446
133951,6556,18954
134097,6507,21673
134811,17700,17700
137564,24160,24160
137777,13250,13250
136774,43040,43040
138354,6360,19241
140234,28490,28490
139144,33556,33556
139764,5262,15518
140447,35130,35130
148131,27128,27128
149781,34050,34050
151801,25346,25346
153621,23516,29146
153241,12600,12600
154174,8919,8919
153861,27530,27530
153384,48758,48758
154004,29094,29094
154527,38380,38380
155414,28000,28000
155061,4884,14426
155511,26498,26498
155627,27096,27096
155681,6910,17662
157447,9384,18384
156541,23000,23000
157951,9912,24792
158477,35430,35430
157757,24388,24388
160621,9332,19332
159647,9117,25851
159717,7310,18385
163204,7176,12336
161554,7796,18508
161217,7448,17048
219082,8927,11843
218238,23900,23900
218335,,
219505,10074,10074
219602,7689,22929
220808,31700,31700
220075,8341,25573
220215,21500,21500
220978,8280,25416
222178,32070,32070
224545,6840,17886
225502,7369,19609
225575,14346,14346
225885,11720,11720
229115,8428,18220
228705,8049,21355
228778,10092,35682
228325,19560,19560
228802,7602,20082
232308,36835,36835
230728,7426,20492
231095,36495,36495
237215,6408,12876
237792,7170,17482
237312,29900,29900
237358,28842,28842
237385,7344,16560
236452,34356,34356
238458,30388,30388
239512,33432,33432
241395,5148,5148
243212,2083,4105
366748,13152,13152
368452,17800,17800
377555,10690,34728
380465,9840,9840
174747,42271,42271
174817,32575,32575
178624,7343,12513
178244,24924,24924
178767,14310,14310
178341,5523,10568
178387,7330,13070
180461,6887,23186
179964,23040,23040
182634,39450,39450
181297,13802,13802
180814,7365,7365
181394,7204,19124
183044,17624,31424
186371,14238,29381
186584,39258,39258
189097,50394,50394
186867,48838,48838
189264,7750,7750
188304,5906,13806
187134,15794,26971
187897,5550,8650
187967,6891,20041
190761,27438,27438
190044,46132,46132
191931,36584,36584
193654,45440,45440
195234,30692,30692
195474,34611,34611
197911,29052,29052
197221,47400,47400
196121,7928,17778
197601,11500,11500
197647,11800,11800
197674,8400,8400
197027,1167,1167
196237,7683,17533
197151,36500,36500
196264,6985,16835
196307,,
198464,6997,22955
198507,4889,17860
198561,29810,29810
199847,49308,49308
200572,7196,16016
204185,29120,29120
203535,51200,51200
203845,35330,35330
204015,5173,15031
225548,26630,26630
227368,7438,17230
227845,41178,41178
228875,42670,42670
228468,20276,20276
229018,5774,6958
228042,25750,25750
232025,33700,33700
233718,36425,36425
234492,17556,17556
233295,38730,38730
235422,19122,19122
234085,17492,41801
234915,16748,16748
236595,41265,41265
236328,46552,46552
236948,10753,34791
238032,7992,22488
239318,37980,37980
239628,39142,39142
240268,8812,16385
240338,27984,27984
240365,7544,15117
241128,5811,5811
243665,5235,14496
243115,2083,4105
241225,6220,6220
243142,3107,6139
242635,5082,5082
242662,5084,5084
242705,5082,5082
243568,10470,10470
247825,,
174251,12846,14846
174844,44180,44180
174437,22240,22240
174914,39594,39594
174491,29460,29460
174507,10396,10396
175421,23016,23016
176017,7744,22012
176664,10536,10536
177144,25415,25415
176044,6116,6116
177214,25905,25905
176947,23010,23010
177551,5220,9853
181464,8537,23058
183071,14495,28295
181127,28250,28250
183257,7425,8265
188641,27078,27078
191241,49073,49073
190594,6782,13892
190637,6812,13922
189857,6700,6700
193584,32649,32649
192624,11200,11200
192864,30290,30290
193061,8600,8600
195164,32331,32331
194657,12450,12450
195304,52550,52550
194091,35160,35160
194824,50797,50797
195544,25114,25114
196097,8999,26239
197197,43980,43980
197984,18500,18500
196167,8176,18026
196194,7961,17811
197744,11600,11600
196291,7834,17684
196431,9300,9300
198677,9170,9170
198747,11230,11230
199111,6977,23372
199607,27406,27406
199157,6132,18590
237932,7038,14394
237525,7154,16382
238078,28110,28110
237118,25350,25350
239105,38470,38470
240462,7484,15334
248882,13755,13755
245652,50878,50878
245838,,
245892,,
251312,17306,17306
409698,6379,17539
414878,10592,10592
384412,13884,13884
428268,13152,13152
440828,9123,27918
441478,,
439288,30746,30746
440758,13755,13755
440925,,
436438,13152,13152
363712,8400,8400
443058,6220,6220
443562,5475,5475
436818,12024,33816
155937,24250,24250
156417,7220,7220
155317,11455,28239
162654,43416,43416
164924,51296,51296
165671,37540,37540
163851,9364,17776
165167,14436,14436
165334,43150,43150
166027,47074,47074
166124,48940,48940
167321,,
166391,33600,33600
166984,,
167057,44755,44755
167251,33510,33510
170037,26860,26860
172334,26730,26730
173887,,
172644,12269,26220
172051,9345,21947
410502,18744,18744
420042,9840,9840
167394,33412,33412
166911,30800,30800
168227,33724,33724
171137,12032,24272
169327,17600,17600
172264,24856,24856
446640,23900,23900
450456,,
450483,9840,9840
450766,,
449870,11412,11412
450526,13152,13152
217749,15550,15550
482413,19948,19948
482680,4397,12752
482149,8282,22990
481720,17393,17393
482583,19948,19948
482653,19948,19948
482440,19948,19948
482459,19948,19948
481410,10200,10200
482486,19948,19948
482556,19948,19948
448840,5821,16735
454689,3410,3410
454829,4200,4200
454856,,
455770,28014,28014
456959,13232,13232
456010,,
457129,19230,19230
456490,11085,11085
447689,5558,16062
444130,,
458469,6495,6495
458210,33675,33675
458229,33675,33675
459259,17331,17331
458919,12975,12975
453163,12975,12975
452090,13152,13152
450979,9000,9000
451820,17664,17664
451060,13968,13968
454236,19230,19230
444413,9200,9200
445300,9840,9840
445319,,
441690,4120,4120
262129,6916,29944
441973,18744,18744
104586,33826,33826
430810,25780,25780
440420,,
440466,,
441609,11750,11750
123280,12060,12060
446729,,
446233,15140,15140
442569,6540,6540
461643,,
466189,13755,13755
466930,19230,19230
238573,,
475200,,
475273,,
474863,15228,15228
457226,9150,9150
458496,17592,17592
458973,12975,12975
460349,14823,14823
460783,11901,11901
461236,5125,5125
468723,6495,6495
479956,13678,13678
147369,12630,12630
483780,13820,13820
484473,3876,16580
484613,9690,9690
484640,9840,9840
484686,,
484710,9840,9840
484729,9840,9840
484756,9749,9749
485546,8385,8385
486840,6060,16636
487296,,
487603,12075,12075
483036,,
487746,8750,8750
488350,7700,7700
488679,9791,9791
489353,19230,19230
489779,14325,14325
460376,9608,10328
181543,5974,5974
459949,6562,15982
485999,9200,9200
486026,9750,9750
486196,8100,8100
486956,19230,19230
487010,,
484783,9840,9840
480073,17358,17358
477039,25935,25935
480569,,
449339,6880,6880
450049,,
450933,5175,5175
451796,14928,14928
451370,10400,10400
448309,9680,9680
448886,10370,26470
449010,17592,17592
149763,,
447050,11880,12980
401223,5620,5620
448239,,
447953,10144,10144
442639,13884,13884
442949,,
435000,,
443410,29000,29000
445133,14553,14553
444990,,
443049,7840,7840
443340,12075,12075
441900,5001,16114
443766,12975,12975
110060,7370,7370
439613,12400,12400
367839,8706,8706
439446,,
440749,6075,6075
436836,12034,33826
431983,9500,9500
388520,6946,6946
128780,7671,10029
217606,11510,11510
437316,,
438586,15590,15590
430670,9166,15016
432533,,
428259,,
100663,8040,18368
101709,12040,24310
101879,8114,14450
101453,9792,9792
102669,20310,20310
101480,7500,14700
102049,29402,29402
101073,10320,10320
110316,,
110370,45466,45466
110413,39793,39793
107983,8196,11856
110486,6857,18017
110529,7067,18227
112260,50945,50945
110583,6460,17620
112446,20725,20725
110653,13360,40042
110680,13645,40327
116846,30338,30338
117113,18744,18744
115083,15205,15205
115409,52666,52666
118693,39950,39950
122296,,
123633,,
121309,33500,33500
122409,7084,18244
122436,46140,46140
434973,,
413413,13998,13998
159373,,
160029,,
159009,7371,16394
159656,38754,38754
159939,8484,22301
159966,7641,18572
159416,7146,20300
160630,6421,15322
159993,8284,20384
160409,16913,16913
155636,,
433660,6118,25162
432223,9840,9840
436483,14223,14223
121983,13152,13152
241720,2370,2370
428286,17485,17485
101693,21400,21400
100690,7180,7180
100706,9842,20612
102553,5784,17990
100830,9640,20710
101116,17306,17306
102270,10418,10418
101189,20130,20130
105589,28943,28943
105899,23896,23896
106713,15000,15000
106810,12500,12500
107600,12714,12714
107080,42440,42440
127060,46422,46422
126669,29360,29360
128106,9519,24101
130110,15450,15450
130776,10017,22878
130183,16510,16510
130226,43940,43940
130253,38300,38300
133650,5785,17725
131159,44853,44853
131283,42536,42536
131399,5612,11756
131450,16078,16078
131469,51950,51950
131496,50547,50547
131520,24908,24908
133979,15536,15536
134130,6381,28659
137546,43240,43240
136950,46520,46520
135610,12310,12310
137953,11040,11040
146339,28730,28730
144740,37626,37626
144050,53649,53649
146533,,
149639,27180,27180
147679,27210,27210
148496,31570,31570
150136,9654,25428
150163,38360,38360
151290,26370,26370
151306,7605,17847
150400,46448,46448
152080,49685,49685
152099,23400,23400
151263,27420,27420
152266,7478,16896
152363,30080,30080
151333,7073,18683
151360,7073,18683
151379,7073,18683
151786,31500,31500
153126,30900,30900
153603,8219,21583
153366,27010,27010
154493,28890,28890
155399,9874,24775
156189,11550,11550
154749,26920,26920
157076,24050,24050
110510,6610,17770
110556,6313,17473
112570,21105,21105
114813,29320,29320
115773,14004,14004
117140,39900,39900
117636,,
122506,43410,43410
125763,44774,44774
126580,8042,18770
129020,14066,35858
130493,10054,22915
130590,52760,52760
139719,5594,5594
139153,9510,9510
139199,27152,27152
138600,38472,38472
140553,26742,26742
139366,6031,16605
139579,17016,17016
139630,19330,19330
139959,11634,29844
142276,6956,21023
140960,5644,15900
141060,27314,27314
146719,42032,42032
147703,14204,23670
147129,20710,20710
148849,35500,35500
194569,16400,16400
193973,30950,30950
197993,18513,18513
198066,27790,27790
196680,,
196176,7754,17604
197610,8100,8100
196866,51696,51696
198136,30050,30050
196200,7964,17814
196219,8298,18148
197133,53090,53090
197869,7136,21652
196413,45022,45022
196440,5300,5300
198899,30534,30534
199759,10500,10500
199193,8880,26399
199209,29150,29150
199306,28995,28995
198613,34090,34090
200280,8136,19290
199999,5804,15915
200059,6348,8918
202073,49106,49106
202903,7040,7040
204176,12673,12673
204006,5173,15031
204909,44090,44090
204936,31874,31874
204699,7140,25332
206589,46860,46860
207856,13080,13080
207403,25310,25310
208239,17412,17412
208646,8004,18645
209056,46894,46894
210146,8523,23170
209506,9625,27326
209533,32130,32130
210906,,
211440,52310,52310
209603,34500,34500
210960,17628,17628
212656,25680,25680
213543,48320,48320
163976,50353,50353
164076,9408,21076
165866,9340,15420
164720,37272,37272
165936,36060,36060
165529,37835,37835
167899,35475,35475
166850,38825,38825
166869,,
167996,39900,39900
166939,45866,45866
166513,14307,30875
166629,14971,32204
168263,9275,15355
167093,,
168430,9202,15282
168546,41040,41040
170806,19500,19500
168740,27684,27684
170976,14402,45410
171100,14062,37890
170639,11019,11019
169983,39790,39790
169479,16726,16726
170000,12644,12644
171456,9766,15262
172440,22758,22758
172699,11493,26851
173920,7858,15602
174020,7566,14394
174066,14142,23806
174233,13139,17485
174783,7910,15828
174899,35326,35326
177083,20706,20706
177816,20750,20750
177940,7042,13432
177339,22081,22081
178059,27958,27958
176336,4790,4790
176406,10600,10600
176479,11700,11700
178679,12140,12140
178420,9394,24525
179159,40726,40726
180416,6561,19984
179256,11240,11240
179946,24540,24540
180489,6238,23764
182670,51438,51438
181783,6462,11262
160959,43542,43542
163046,46430,46430
162210,23400,23400
161086,50960,50960
161299,13078,26158
162760,36540,36540
164739,45760,45760
164216,43842,43842
164270,40580,40580
167729,9736,16148
168290,34825,34825
166656,31560,31560
167783,38590,38590
166683,48452,48452
167260,33400,33400
169716,39882,39882
171146,10344,20190
169910,11290,18048
169363,27710,27710
171599,25560,25560
173160,35160,35160
172033,18746,18746
173300,36878,36878
175616,6418,6418
175856,7261,17614
175430,11212,11212
175980,37110,37110
176080,7780,20900
177986,,
181376,16200,16200
181400,15352,15352
183080,13472,21732
184603,37988,37988
183239,39036,39036
185129,11430,20458
183789,24050,24050
186186,11100,11100
186380,14372,30023
186399,13829,29480
188030,6094,19652
189459,,
190983,41900,41900
190600,6810,13920
190646,6756,13866
190716,25210,25210
192703,40004,40004
104179,11769,34967
105330,10764,24144
106263,,
119173,37722,37722
120403,44020,44020
117946,44480,44480
120883,44588,44588
